[28/06/2022 - 14:14:54] - O Admin Miiler_Paradise deu [1000000] Moedas para o jogador [Miiler_Paradise].
[13/10/2022 - 20:46:54] - O Admin Felipe_Fox deu [450000] Moedas para o jogador [Felipe_Fox].
[30/10/2022 - 09:25:34] - O Admin Felipe_Fox deu [500] Ouros para o jogador [Felipe_Fox].
[30/10/2022 - 09:35:42] - O Admin Felipe_Fox deu [500] Ouros para o jogador [Felipe_Fox].
[30/10/2022 - 12:28:54] - O Admin Felipe_Fox deu [11] Ouros para o jogador [Felipe_Fox].
[30/10/2022 - 17:50:32] - O Admin Felipe_Fox deu [5000000] Moedas para o jogador [Felipe_Fox].
[30/10/2022 - 18:00:45] - O Admin Felipe_Fox deu [44444] Moedas para o jogador [Felipe_Fox].
[30/10/2022 - 18:00:48] - O Admin Felipe_Fox deu [444446] Moedas para o jogador [Felipe_Fox].
[30/10/2022 - 20:09:33] - O Admin Felipe_Fox deu [300] Ouros para o jogador [Felipe_Fox].
[30/10/2022 - 20:09:41] - O Admin Felipe_Fox deu [427] Ouros para o jogador [Felipe_Fox].
[07/11/2022 - 02:44:38] - O Admin DogMau_Fox deu [1999] Ouros para o jogador [logmay].
